node	node.num	leaf.num	label.name
1		52.82 	Syncephalastraceae (3)
2		61.52 	Lichtheimiaceae (3)
3		64.14 	Rhizopodaceae (3)
4		59.54 	Mucoraceae (12)
5		80.69 	Ustilaginaceae
6		80.93 	Cystobasidiaceae (4)
7		84.98 	Sporidiobolaceae (11)
8		77.36 	Filobasidiaceae (5)
9		59.05 	Cryptococcaceae (2)
10		47.20 	unknown_1 (5)
11		82.30 	Trichosporonaceae (30)
12		82.00 	Trichomonascaceae (7)
13		81.29 	Dipodascaceae (11)
14		93.10 	Pichiaceae (37)
15		84.32 	Phaffomycetaceae (5)
16		88.95 	Saccharomycetaceae (12)
17		64.70 	Metschnikowiaceae (4)
18		90.20 	Debaryomycetaceae (50)
19		35.84 	Cordycipitaceae
20		52.07 	Nectriaceae (3)
21		36.61 	Sarocladiaceae
22		54.92 	Hypocreaceae (8)
23		48.25 	Hypoxylaceae (2)
24		46.63 	Sporocadaceae (3)
25		42.08 	Coniochaetaceae (2)
26		66.05 	Chaetomiaceae (13)
27		22.57 	Cladosporiaceae
28		34.92 	Sporormiaceae
29		50.43 	Periconiaceae
30		44.43 	Pleosporaceae (3)
31		58.67 	Herpotrichiellaceae (2)
32		52.79 	Arthrodermataceae
33		42.72 	unknown_2
34		64.01 	Trichocomaceae (41)
35		29.12 	Thermoascaceae (5)
36		28.61 	unknown_3 (3)
37		56.72 	Penicillium (108)
38		31.56 	Monascus (2)
39		70.77 	Aspergillus (181)
40	100 		
41	96.85 		
42	94.81 		
43	75.08 		
44	81.04 		
45	95.72 		
46	89.52 		
47	88.28 		
48	94.31 		
49	92.42 		
50	89.30 		
51	99.14 		
52	97.92 		
53	88.79 		
54	97.18 		
55	95.19 		
56	91.14 		
57	92.69 		
58	98.32 		
59	84.87 		
60	72.15 		
61	56.16 		
62	57.96 		
63	74.09 		
64	60.60 		
65	68.98 		
66	92.07 		
67	76.16 		
68	67.01 		
69	70.17 		
70	90.59 		
71	90.11 		
72	61.25 		
73	88.42 		
74	82.52 		
75	81.67 		
76	62.75 		
77	71.76 		
